#Predicted and verified water level from NOAA CO-OPS,,,
#Station CPTR1 (8452944) ,,,
#Measured relative to MLLW ,,,
#Predicted water level every 6 minutes for 2017,,,
#Verified water level every 6 minutes for 2017,,,
#Copied by Grace Kowalski on 07/12/2022,,,
Date,Time (GMT),Predicted (m),Verified (m)
12/31/2016,0:00,0.899,0.903
12/31/2016,0:06,0.928,0.933
12/31/2016,0:12,0.956,0.962
12/31/2016,0:18,0.983,0.996
12/31/2016,0:24,1.009,1.029
12/31/2016,0:30,1.035,1.048
12/31/2016,0:36,1.058,1.071
12/31/2016,0:42,1.08,1.092
12/31/2016,0:48,1.101,1.111
12/31/2016,0:54,1.12,1.128
12/31/2016,1:00,1.137,1.141
12/31/2016,1:06,1.152,1.156
12/31/2016,1:12,1.165,1.162
12/31/2016,1:18,1.176,1.168
12/31/2016,1:24,1.184,1.168
12/31/2016,1:30,1.191,1.175
12/31/2016,1:36,1.195,1.169
12/31/2016,1:42,1.197,1.172
12/31/2016,1:48,1.197,1.165
12/31/2016,1:54,1.194,1.151
12/31/2016,2:00,1.189,1.141
12/31/2016,2:06,1.182,1.12
12/31/2016,2:12,1.172,1.107
12/31/2016,2:18,1.16,1.097
12/31/2016,2:24,1.146,1.077
12/31/2016,2:30,1.13,1.051
12/31/2016,2:36,1.112,1.032
12/31/2016,2:42,1.092,1.007
12/31/2016,2:48,1.071,0.983
12/31/2016,2:54,1.047,0.951
12/31/2016,3:00,1.022,0.919
12/31/2016,3:06,0.995,0.88
12/31/2016,3:12,0.968,0.85
12/31/2016,3:18,0.938,0.81
12/31/2016,3:24,0.908,0.764
12/31/2016,3:30,0.877,0.727
12/31/2016,3:36,0.845,0.686
12/31/2016,3:42,0.812,0.647
12/31/2016,3:48,0.778,0.609
12/31/2016,3:54,0.744,0.559
12/31/2016,4:00,0.71,0.532
12/31/2016,4:06,0.675,0.5
12/31/2016,4:12,0.64,0.466
12/31/2016,4:18,0.605,0.444
12/31/2016,4:24,0.569,0.418
12/31/2016,4:30,0.534,0.392
12/31/2016,4:36,0.499,0.363
12/31/2016,4:42,0.465,0.342
12/31/2016,4:48,0.43,0.31
12/31/2016,4:54,0.396,0.28
12/31/2016,5:00,0.363,0.253
12/31/2016,5:06,0.33,0.233
12/31/2016,5:12,0.298,0.21
12/31/2016,5:18,0.267,0.182
12/31/2016,5:24,0.236,0.158
12/31/2016,5:30,0.207,0.14
12/31/2016,5:36,0.179,0.126
12/31/2016,5:42,0.151,0.101
12/31/2016,5:48,0.126,0.074
12/31/2016,5:54,0.101,0.051
12/31/2016,6:00,0.078,0.035
12/31/2016,6:06,0.057,0.021
12/31/2016,6:12,0.038,0.011
12/31/2016,6:18,0.02,-0.001
12/31/2016,6:24,0.004,-0.007
12/31/2016,6:30,-0.01,-0.019
12/31/2016,6:36,-0.022,-0.022
12/31/2016,6:42,-0.031,-0.023
12/31/2016,6:48,-0.039,-0.03
12/31/2016,6:54,-0.045,-0.037
12/31/2016,7:00,-0.048,-0.035
12/31/2016,7:06,-0.049,-0.042
12/31/2016,7:12,-0.049,-0.034
12/31/2016,7:18,-0.046,-0.037
12/31/2016,7:24,-0.041,-0.042
12/31/2016,7:30,-0.034,-0.038
12/31/2016,7:36,-0.026,-0.03
12/31/2016,7:42,-0.016,-0.037
12/31/2016,7:48,-0.004,-0.034
12/31/2016,7:54,0.009,-0.027
12/31/2016,8:00,0.023,-0.009
12/31/2016,8:06,0.039,0.001
12/31/2016,8:12,0.056,0.012
12/31/2016,8:18,0.073,0.023
12/31/2016,8:24,0.092,0.039
