#Predicted and verified water level from NOAA CO-OPS,,,
#Station QPTR1 (8454049) ,,,
#Measured relative to MLLW ,,,
#Predicted water level every 6 minutes for 2017,,,
#Verified water level every 6 minutes for 2017,,,
#Copied by Grace Kowalski on 07/12/2022,,,
Date,Time (GMT),Predicted (m),Verified (m)
12/31/2016,0:00,0.834,0.816
12/31/2016,0:06,0.859,0.839
12/31/2016,0:12,0.882,0.853
12/31/2016,0:18,0.905,0.889
12/31/2016,0:24,0.926,0.914
12/31/2016,0:30,0.947,0.936
12/31/2016,0:36,0.966,0.948
12/31/2016,0:42,0.983,0.951
12/31/2016,0:48,0.999,0.971
12/31/2016,0:54,1.013,0.994
12/31/2016,1:00,1.026,1.009
12/31/2016,1:06,1.037,1.022
12/31/2016,1:12,1.046,1.02
12/31/2016,1:18,1.053,1.015
12/31/2016,1:24,1.058,1.016
12/31/2016,1:30,1.062,1.015
12/31/2016,1:36,1.063,1.02
12/31/2016,1:42,1.062,1.006
12/31/2016,1:48,1.059,0.993
12/31/2016,1:54,1.055,0.99
12/31/2016,2:00,1.048,0.985
12/31/2016,2:06,1.039,0.973
12/31/2016,2:12,1.029,0.965
12/31/2016,2:18,1.016,0.943
12/31/2016,2:24,1.002,0.932
12/31/2016,2:30,0.986,0.911
12/31/2016,2:36,0.969,0.882
12/31/2016,2:42,0.95,0.846
12/31/2016,2:48,0.93,0.813
12/31/2016,2:54,0.908,0.786
12/31/2016,3:00,0.885,0.754
12/31/2016,3:06,0.861,0.723
12/31/2016,3:12,0.836,0.698
12/31/2016,3:18,0.809,0.672
12/31/2016,3:24,0.782,0.646
12/31/2016,3:30,0.754,0.621
12/31/2016,3:36,0.725,0.593
12/31/2016,3:42,0.695,0.567
12/31/2016,3:48,0.665,0.547
12/31/2016,3:54,0.634,0.52
12/31/2016,4:00,0.603,0.486
12/31/2016,4:06,0.571,0.455
12/31/2016,4:12,0.539,0.426
12/31/2016,4:18,0.507,0.392
12/31/2016,4:24,0.475,0.36
12/31/2016,4:30,0.443,0.328
12/31/2016,4:36,0.411,0.29
12/31/2016,4:42,0.379,0.264
12/31/2016,4:48,0.348,0.234
12/31/2016,4:54,0.317,0.206
12/31/2016,5:00,0.286,0.187
12/31/2016,5:06,0.256,0.163
12/31/2016,5:12,0.228,0.138
12/31/2016,5:18,0.199,0.113
12/31/2016,5:24,0.172,0.095
12/31/2016,5:30,0.147,0.074
12/31/2016,5:36,0.122,0.051
12/31/2016,5:42,0.099,0.033
12/31/2016,5:48,0.077,0.029
12/31/2016,5:54,0.057,0.005
12/31/2016,6:00,0.038,-0.01
12/31/2016,6:06,0.021,-0.011
12/31/2016,6:12,0.006,-0.011
12/31/2016,6:18,-0.008,-0.019
12/31/2016,6:24,-0.02,-0.039
12/31/2016,6:30,-0.029,-0.052
12/31/2016,6:36,-0.038,-0.055
12/31/2016,6:42,-0.044,-0.062
12/31/2016,6:48,-0.048,-0.068
12/31/2016,6:54,-0.051,-0.072
12/31/2016,7:00,-0.052,-0.075
12/31/2016,7:06,-0.052,-0.077
12/31/2016,7:12,-0.05,-0.077
12/31/2016,7:18,-0.046,-0.076
12/31/2016,7:24,-0.041,-0.074
12/31/2016,7:30,-0.035,-0.07
12/31/2016,7:36,-0.027,-0.062
12/31/2016,7:42,-0.019,-0.064
12/31/2016,7:48,-0.009,-0.053
12/31/2016,7:54,0.002,-0.037
12/31/2016,8:00,0.013,-0.03
12/31/2016,8:06,0.026,-0.026
12/31/2016,8:12,0.039,-0.025
12/31/2016,8:18,0.053,-0.019
12/31/2016,8:24,0.068,-0.013
12/31/2016,8:30,0.083,0.017
12/31/2016,8:36,0.099,0.03
12/31/2016,8:42,0.116,0.036
12/31/2016,8:48,0.133,0.056
12/31/2016,8:54,0.15,0.08
12/31/2016,9:00,0.169,0.1
12/31/2016,9:06,0.187,0.118
12/31/2016,9:12,0.206,0.146
12/31/2016,9:18,0.226,0.173
12/31/2016,9:24,0.246,0.186
12/31/2016,9:30,0.267,0.213
12/31/2016,9:36,0.288,0.244
12/31/2016,9:42,0.31,0.264
12/31/2016,9:48,0.332,0.293
12/31/2016,9:54,0.354,0.314
12/31/2016,10:00,0.377,0.333
12/31/2016,10:06,0.401,0.353
12/31/2016,10:12,0.425,0.383
12/31/2016,10:18,0.449,0.416
12/31/2016,10:24,0.474,0.434
12/31/2016,10:30,0.5,0.462
12/31/2016,10:36,0.525,0.483
12/31/2016,10:42,0.551,0.501
12/31/2016,10:48,0.578,0.521
12/31/2016,10:54,0.604,0.55
12/31/2016,11:00,0.631,0.587
12/31/2016,11:06,0.658,0.604
12/31/2016,11:12,0.686,0.632
12/31/2016,11:18,0.713,0.666
12/31/2016,11:24,0.741,0.698
12/31/2016,11:30,0.768,0.726
12/31/2016,11:36,0.796,0.76
12/31/2016,11:42,0.823,0.796
12/31/2016,11:48,0.85,0.816
12/31/2016,11:54,0.877,0.848
12/31/2016,12:00,0.904,0.881
12/31/2016,12:06,0.93,0.913
12/31/2016,12:12,0.955,0.927
12/31/2016,12:18,0.98,0.949
12/31/2016,12:24,1.004,0.987
12/31/2016,12:30,1.028,1.026
12/31/2016,12:36,1.05,1.046
12/31/2016,12:42,1.071,1.077
12/31/2016,12:48,1.091,1.112
12/31/2016,12:54,1.11,1.128
12/31/2016,13:00,1.128,1.151
12/31/2016,13:06,1.144,1.176
12/31/2016,13:12,1.158,1.2
12/31/2016,13:18,1.171,1.204
12/31/2016,13:24,1.182,1.222
12/31/2016,13:30,1.191,1.236
12/31/2016,13:36,1.198,1.243
12/31/2016,13:42,1.204,1.257
12/31/2016,13:48,1.207,1.275
12/31/2016,13:54,1.208,1.282
12/31/2016,14:00,1.208,1.277
12/31/2016,14:06,1.205,1.276
12/31/2016,14:12,1.2,1.286
12/31/2016,14:18,1.193,1.281
12/31/2016,14:24,1.185,1.268
12/31/2016,14:30,1.174,1.258
12/31/2016,14:36,1.161,1.25
12/31/2016,14:42,1.147,1.226
12/31/2016,14:48,1.131,1.227
12/31/2016,14:54,1.113,1.216
12/31/2016,15:00,1.094,1.191
12/31/2016,15:06,1.073,1.166
12/31/2016,15:12,1.05,1.14
12/31/2016,15:18,1.026,1.119
12/31/2016,15:24,1.001,1.09
12/31/2016,15:30,0.975,1.075
12/31/2016,15:36,0.948,1.044
12/31/2016,15:42,0.92,1.008
12/31/2016,15:48,0.89,0.969
12/31/2016,15:54,0.86,0.936
12/31/2016,16:00,0.829,0.904
12/31/2016,16:06,0.798,0.865
12/31/2016,16:12,0.766,0.822
12/31/2016,16:18,0.733,0.786
12/31/2016,16:24,0.7,0.748
12/31/2016,16:30,0.667,0.705
12/31/2016,16:36,0.633,0.667
12/31/2016,16:42,0.599,0.628
12/31/2016,16:48,0.565,0.59
12/31/2016,16:54,0.531,0.542
12/31/2016,17:00,0.497,0.511
12/31/2016,17:06,0.463,0.482
12/31/2016,17:12,0.43,0.441
12/31/2016,17:18,0.397,0.412
12/31/2016,17:24,0.364,0.378
12/31/2016,17:30,0.332,0.355
12/31/2016,17:36,0.301,0.321
12/31/2016,17:42,0.27,0.295
12/31/2016,17:48,0.241,0.274
12/31/2016,17:54,0.212,0.243
12/31/2016,18:00,0.185,0.212
12/31/2016,18:06,0.159,0.178
12/31/2016,18:12,0.134,0.162
12/31/2016,18:18,0.111,0.147
12/31/2016,18:24,0.089,0.141
12/31/2016,18:30,0.069,0.126
12/31/2016,18:36,0.051,0.101
12/31/2016,18:42,0.034,0.08
12/31/2016,18:48,0.018,0.076
12/31/2016,18:54,0.005,0.075
12/31/2016,19:00,-0.007,0.071
12/31/2016,19:06,-0.017,0.073
12/31/2016,19:12,-0.026,0.066
12/31/2016,19:18,-0.033,0.065
12/31/2016,19:24,-0.038,0.074
12/31/2016,19:30,-0.041,0.083
12/31/2016,19:36,-0.044,0.096
12/31/2016,19:42,-0.044,0.094
12/31/2016,19:48,-0.044,0.12
12/31/2016,19:54,-0.042,0.117
12/31/2016,20:00,-0.039,0.124
12/31/2016,20:06,-0.035,0.141
12/31/2016,20:12,-0.029,0.146
12/31/2016,20:18,-0.023,0.158
12/31/2016,20:24,-0.016,0.162
12/31/2016,20:30,-0.008,0.171
12/31/2016,20:36,0.001,0.188
12/31/2016,20:42,0.011,0.204
12/31/2016,20:48,0.021,0.217
12/31/2016,20:54,0.032,0.218
12/31/2016,21:00,0.044,0.242
12/31/2016,21:06,0.056,0.248
12/31/2016,21:12,0.069,0.272
12/31/2016,21:18,0.083,0.285
12/31/2016,21:24,0.097,0.311
12/31/2016,21:30,0.112,0.324
12/31/2016,21:36,0.127,0.34
12/31/2016,21:42,0.143,0.361
12/31/2016,21:48,0.159,0.383
12/31/2016,21:54,0.176,0.399
12/31/2016,22:00,0.194,0.416
12/31/2016,22:06,0.212,0.44
12/31/2016,22:12,0.231,0.464
12/31/2016,22:18,0.25,0.495
12/31/2016,22:24,0.27,0.519
12/31/2016,22:30,0.291,0.533
12/31/2016,22:36,0.312,0.558
12/31/2016,22:42,0.333,0.589
12/31/2016,22:48,0.356,0.608
12/31/2016,22:54,0.378,0.636
12/31/2016,23:00,0.402,0.659
12/31/2016,23:06,0.425,0.684
12/31/2016,23:12,0.45,0.709
12/31/2016,23:18,0.474,0.748
12/31/2016,23:24,0.499,0.787
12/31/2016,23:30,0.525,0.814
12/31/2016,23:36,0.55,0.837
12/31/2016,23:42,0.576,0.864
12/31/2016,23:48,0.603,0.894
12/31/2016,23:54,0.629,0.915
1/1/2017,0:00,0.648,0.94
1/1/2017,0:06,0.674,0.976
1/1/2017,0:12,0.699,0.998
1/1/2017,0:18,0.725,1.018
1/1/2017,0:24,0.751,1.04
1/1/2017,0:30,0.776,1.07
1/1/2017,0:36,0.8,1.099
1/1/2017,0:42,0.825,1.107
1/1/2017,0:48,0.848,1.129
1/1/2017,0:54,0.871,1.157
1/1/2017,1:00,0.893,1.185
1/1/2017,1:06,0.914,1.208
1/1/2017,1:12,0.933,1.218
1/1/2017,1:18,0.952,1.238
1/1/2017,1:24,0.969,1.254
1/1/2017,1:30,0.985,1.26
1/1/2017,1:36,1,1.275
1/1/2017,1:42,1.012,1.286
1/1/2017,1:48,1.023,1.287
1/1/2017,1:54,1.033,1.282
1/1/2017,2:00,1.04,1.282
1/1/2017,2:06,1.045,1.292
1/1/2017,2:12,1.049,1.279
1/1/2017,2:18,1.05,1.268
1/1/2017,2:24,1.05,1.275
1/1/2017,2:30,1.047,1.278
1/1/2017,2:36,1.042,1.272
1/1/2017,2:42,1.036,1.28
1/1/2017,2:48,1.027,1.274
1/1/2017,2:54,1.016,1.257
1/1/2017,3:00,1.004,1.232
1/1/2017,3:06,0.99,1.218
1/1/2017,3:12,0.974,1.205
1/1/2017,3:18,0.956,1.176
1/1/2017,3:24,0.937,1.153
1/1/2017,3:30,0.916,1.144
1/1/2017,3:36,0.894,1.112
1/1/2017,3:42,0.871,1.075
1/1/2017,3:48,0.846,1.058
1/1/2017,3:54,0.82,1.047
1/1/2017,4:00,0.794,1.019
1/1/2017,4:06,0.766,0.964
1/1/2017,4:12,0.738,0.943
1/1/2017,4:18,0.709,0.919
1/1/2017,4:24,0.679,0.868
1/1/2017,4:30,0.649,0.826
1/1/2017,4:36,0.618,0.802
1/1/2017,4:42,0.588,0.767
1/1/2017,4:48,0.556,0.729
1/1/2017,4:54,0.525,0.694
1/1/2017,5:00,0.494,0.667
1/1/2017,5:06,0.462,0.64
1/1/2017,5:12,0.431,0.604
1/1/2017,5:18,0.4,0.562
1/1/2017,5:24,0.369,0.546
1/1/2017,5:30,0.338,0.498
1/1/2017,5:36,0.308,0.479
1/1/2017,5:42,0.279,0.448
1/1/2017,5:48,0.25,0.404
1/1/2017,5:54,0.222,0.348
1/1/2017,6:00,0.195,0.306
1/1/2017,6:06,0.169,0.293
1/1/2017,6:12,0.144,0.26
1/1/2017,6:18,0.121,0.225
1/1/2017,6:24,0.098,0.191
1/1/2017,6:30,0.077,0.166
1/1/2017,6:36,0.058,0.146
1/1/2017,6:42,0.04,0.122
1/1/2017,6:48,0.023,0.102
1/1/2017,6:54,0.009,0.08
1/1/2017,7:00,-0.004,0.057
1/1/2017,7:06,-0.015,0.039
1/1/2017,7:12,-0.025,0.024
1/1/2017,7:18,-0.032,0.011
1/1/2017,7:24,-0.038,-0.005
1/1/2017,7:30,-0.042,-0.034
1/1/2017,7:36,-0.044,-0.065
1/1/2017,7:42,-0.044,-0.071
1/1/2017,7:48,-0.043,-0.058
1/1/2017,7:54,-0.04,-0.052
1/1/2017,8:00,-0.036,-0.056
1/1/2017,8:06,-0.03,-0.056
1/1/2017,8:12,-0.023,-0.05
1/1/2017,8:18,-0.015,-0.041
1/1/2017,8:24,-0.005,-0.028
1/1/2017,8:30,0.006,-0.016
1/1/2017,8:36,0.018,-0.001
1/1/2017,8:42,0.031,0.001
1/1/2017,8:48,0.044,0.005
1/1/2017,8:54,0.059,0.003
1/1/2017,9:00,0.074,0.019
1/1/2017,9:06,0.089,0.042
1/1/2017,9:12,0.106,0.045
1/1/2017,9:18,0.122,0.053
1/1/2017,9:24,0.14,0.08
1/1/2017,9:30,0.158,0.099
1/1/2017,9:36,0.176,0.126
1/1/2017,9:42,0.194,0.15
1/1/2017,9:48,0.213,0.169
1/1/2017,9:54,0.232,0.183
1/1/2017,10:00,0.252,0.206
1/1/2017,10:06,0.272,0.235
1/1/2017,10:12,0.292,0.251
1/1/2017,10:18,0.312,0.272
1/1/2017,10:24,0.333,0.293
1/1/2017,10:30,0.355,0.302
1/1/2017,10:36,0.376,0.323
1/1/2017,10:42,0.398,0.353
1/1/2017,10:48,0.42,0.395
1/1/2017,10:54,0.443,0.428
1/1/2017,11:00,0.465,0.439
1/1/2017,11:06,0.488,0.48
1/1/2017,11:12,0.512,0.526
1/1/2017,11:18,0.536,0.57
1/1/2017,11:24,0.56,0.597
1/1/2017,11:30,0.584,0.62
1/1/2017,11:36,0.609,0.637
1/1/2017,11:42,0.634,0.657
1/1/2017,11:48,0.659,0.686
1/1/2017,11:54,0.684,0.719
1/1/2017,12:00,0.71,0.744
1/1/2017,12:06,0.735,0.77
1/1/2017,12:12,0.761,0.804
1/1/2017,12:18,0.787,0.829
1/1/2017,12:24,0.812,0.853
1/1/2017,12:30,0.838,0.875
1/1/2017,12:36,0.863,0.893
1/1/2017,12:42,0.888,0.925
1/1/2017,12:48,0.913,0.95
1/1/2017,12:54,0.938,0.966
1/1/2017,13:00,0.961,0.981
1/1/2017,13:06,0.985,1.007
1/1/2017,13:12,1.007,1.021
1/1/2017,13:18,1.029,1.038
1/1/2017,13:24,1.05,1.064
1/1/2017,13:30,1.07,1.089
1/1/2017,13:36,1.088,1.106
1/1/2017,13:42,1.106,1.118
1/1/2017,13:48,1.122,1.139
1/1/2017,13:54,1.136,1.145
1/1/2017,14:00,1.149,1.149
1/1/2017,14:06,1.161,1.151
1/1/2017,14:12,1.17,1.162
1/1/2017,14:18,1.178,1.162
1/1/2017,14:24,1.184,1.152
1/1/2017,14:30,1.188,1.153
1/1/2017,14:36,1.19,1.158
1/1/2017,14:42,1.189,1.157
1/1/2017,14:48,1.187,1.151
1/1/2017,14:54,1.183,1.147
1/1/2017,15:00,1.177,1.137
1/1/2017,15:06,1.168,1.125
1/1/2017,15:12,1.158,1.12
1/1/2017,15:18,1.145,1.105
1/1/2017,15:24,1.131,1.084
1/1/2017,15:30,1.115,1.07
1/1/2017,15:36,1.097,1.048
1/1/2017,15:42,1.078,1.024
1/1/2017,15:48,1.057,1.001
1/1/2017,15:54,1.034,0.971
1/1/2017,16:00,1.01,0.945
1/1/2017,16:06,0.985,0.917
1/1/2017,16:12,0.958,0.889
1/1/2017,16:18,0.931,0.853
1/1/2017,16:24,0.902,0.817
1/1/2017,16:30,0.873,0.773
1/1/2017,16:36,0.843,0.739
1/1/2017,16:42,0.812,0.707
1/1/2017,16:48,0.78,0.672
1/1/2017,16:54,0.748,0.631
1/1/2017,17:00,0.716,0.592
1/1/2017,17:06,0.683,0.555
1/1/2017,17:12,0.65,0.52
1/1/2017,17:18,0.616,0.487
1/1/2017,17:24,0.583,0.45
1/1/2017,17:30,0.55,0.41
1/1/2017,17:36,0.516,0.368
1/1/2017,17:42,0.483,0.332
1/1/2017,17:48,0.45,0.3
1/1/2017,17:54,0.417,0.265
1/1/2017,18:00,0.385,0.225
1/1/2017,18:06,0.354,0.186
1/1/2017,18:12,0.322,0.156
1/1/2017,18:18,0.292,0.133
1/1/2017,18:24,0.263,0.102
1/1/2017,18:30,0.234,0.075
1/1/2017,18:36,0.206,0.04
1/1/2017,18:42,0.18,0.02
1/1/2017,18:48,0.155,0.004
1/1/2017,18:54,0.131,-0.014
1/1/2017,19:00,0.109,-0.027
1/1/2017,19:06,0.088,-0.04
1/1/2017,19:12,0.068,-0.052
1/1/2017,19:18,0.05,-0.051
1/1/2017,19:24,0.034,-0.062
1/1/2017,19:30,0.02,-0.067
1/1/2017,19:36,0.007,-0.062
1/1/2017,19:42,-0.004,-0.061
1/1/2017,19:48,-0.013,-0.056
1/1/2017,19:54,-0.02,-0.06
1/1/2017,20:00,-0.026,-0.061
1/1/2017,20:06,-0.03,-0.054
1/1/2017,20:12,-0.033,-0.058
1/1/2017,20:18,-0.034,-0.063
1/1/2017,20:24,-0.033,-0.067
1/1/2017,20:30,-0.031,-0.065
1/1/2017,20:36,-0.028,-0.058
1/1/2017,20:42,-0.023,-0.06
1/1/2017,20:48,-0.018,-0.058
1/1/2017,20:54,-0.011,-0.055
1/1/2017,21:00,-0.003,-0.046
1/1/2017,21:06,0.006,-0.033
1/1/2017,21:12,0.015,-0.017
1/1/2017,21:18,0.026,-0.009
1/1/2017,21:24,0.037,0.001
1/1/2017,21:30,0.048,0.002
1/1/2017,21:36,0.061,0.007
1/1/2017,21:42,0.073,0.009
1/1/2017,21:48,0.086,0.031
1/1/2017,21:54,0.1,0.041
1/1/2017,22:00,0.114,0.045
1/1/2017,22:06,0.128,0.052
1/1/2017,22:12,0.143,0.07
1/1/2017,22:18,0.158,0.086
1/1/2017,22:24,0.174,0.099
1/1/2017,22:30,0.189,0.112
1/1/2017,22:36,0.206,0.115
1/1/2017,22:42,0.222,0.133
1/1/2017,22:48,0.239,0.151
1/1/2017,22:54,0.256,0.173
1/1/2017,23:00,0.274,0.188
1/1/2017,23:06,0.292,0.201
1/1/2017,23:12,0.311,0.223
1/1/2017,23:18,0.33,0.243
1/1/2017,23:24,0.35,0.264
1/1/2017,23:30,0.37,0.296
1/1/2017,23:36,0.39,0.328
1/1/2017,23:42,0.411,0.353
1/1/2017,23:48,0.432,0.38
1/1/2017,23:54,0.454,0.419
1/2/2017,0:00,0.476,0.439
1/2/2017,0:06,0.499,0.46
1/2/2017,0:12,0.522,0.482
1/2/2017,0:18,0.545,0.505
1/2/2017,0:24,0.569,0.528
1/2/2017,0:30,0.593,0.556
1/2/2017,0:36,0.617,0.584
1/2/2017,0:42,0.642,0.615
1/2/2017,0:48,0.666,0.639
1/2/2017,0:54,0.691,0.654
1/2/2017,1:00,0.715,0.684
1/2/2017,1:06,0.74,0.719
1/2/2017,1:12,0.764,0.744
1/2/2017,1:18,0.788,0.771
1/2/2017,1:24,0.812,0.806
1/2/2017,1:30,0.835,0.837
1/2/2017,1:36,0.857,0.854
1/2/2017,1:42,0.879,0.876
1/2/2017,1:48,0.9,0.9
1/2/2017,1:54,0.92,0.924
1/2/2017,2:00,0.939,0.943
1/2/2017,2:06,0.957,0.963
1/2/2017,2:12,0.974,0.991
1/2/2017,2:18,0.989,1.005
1/2/2017,2:24,1.002,1.022
1/2/2017,2:30,1.014,1.035
1/2/2017,2:36,1.024,1.043
1/2/2017,2:42,1.033,1.046
1/2/2017,2:48,1.039,1.054
1/2/2017,2:54,1.044,1.07
1/2/2017,3:00,1.046,1.073
1/2/2017,3:06,1.047,1.083
1/2/2017,3:12,1.045,1.093
1/2/2017,3:18,1.041,1.095
1/2/2017,3:24,1.036,1.088
1/2/2017,3:30,1.028,1.091
1/2/2017,3:36,1.018,1.1
1/2/2017,3:42,1.007,1.094
1/2/2017,3:48,0.993,1.084
1/2/2017,3:54,0.978,1.071
1/2/2017,4:00,0.961,1.048
1/2/2017,4:06,0.942,1.035
1/2/2017,4:12,0.922,1.012
1/2/2017,4:18,0.9,0.99
1/2/2017,4:24,0.877,0.96
1/2/2017,4:30,0.853,0.925
1/2/2017,4:36,0.827,0.899
1/2/2017,4:42,0.801,0.872
1/2/2017,4:48,0.773,0.854
1/2/2017,4:54,0.745,0.824
1/2/2017,5:00,0.716,0.796
1/2/2017,5:06,0.687,0.771
1/2/2017,5:12,0.657,0.744
1/2/2017,5:18,0.626,0.71
1/2/2017,5:24,0.596,0.683
1/2/2017,5:30,0.565,0.656
1/2/2017,5:36,0.534,0.608
1/2/2017,5:42,0.502,0.56
1/2/2017,5:48,0.471,0.54
1/2/2017,5:54,0.44,0.512
1/2/2017,6:00,0.409,0.454
1/2/2017,6:06,0.379,0.423
1/2/2017,6:12,0.349,0.41
1/2/2017,6:18,0.319,0.363
1/2/2017,6:24,0.29,0.318
1/2/2017,6:30,0.262,0.312
1/2/2017,6:36,0.234,0.301
1/2/2017,6:42,0.208,0.249
1/2/2017,6:48,0.182,0.212
1/2/2017,6:54,0.158,0.209
1/2/2017,7:00,0.134,0.183
1/2/2017,7:06,0.112,0.141
1/2/2017,7:12,0.091,0.119
1/2/2017,7:18,0.072,0.122
1/2/2017,7:24,0.054,0.102
1/2/2017,7:30,0.038,0.076
1/2/2017,7:36,0.024,0.076
1/2/2017,7:42,0.011,0.082
1/2/2017,7:48,0,0.058
1/2/2017,7:54,-0.009,0.033
1/2/2017,8:00,-0.016,0.038
1/2/2017,8:06,-0.022,0.046
1/2/2017,8:12,-0.025,0.03
1/2/2017,8:18,-0.027,0.016
1/2/2017,8:24,-0.027,0.027
1/2/2017,8:30,-0.025,0.032
1/2/2017,8:36,-0.022,0.015
1/2/2017,8:42,-0.017,0.034
1/2/2017,8:48,-0.011,0.051
1/2/2017,8:54,-0.003,0.054
1/2/2017,9:00,0.006,0.06
1/2/2017,9:06,0.016,0.076
1/2/2017,9:12,0.028,0.102
1/2/2017,9:18,0.04,0.112
1/2/2017,9:24,0.054,0.106
1/2/2017,9:30,0.068,0.112
1/2/2017,9:36,0.083,0.132
1/2/2017,9:42,0.098,0.142
1/2/2017,9:48,0.114,0.137
1/2/2017,9:54,0.13,0.168
1/2/2017,10:00,0.147,0.201
1/2/2017,10:06,0.164,0.209
1/2/2017,10:12,0.182,0.232
1/2/2017,10:18,0.199,0.252
1/2/2017,10:24,0.217,0.265
1/2/2017,10:30,0.235,0.283
1/2/2017,10:36,0.253,0.305
1/2/2017,10:42,0.271,0.315
1/2/2017,10:48,0.29,0.33
1/2/2017,10:54,0.308,0.343
1/2/2017,11:00,0.327,0.352
1/2/2017,11:06,0.346,0.369
1/2/2017,11:12,0.365,0.404
1/2/2017,11:18,0.384,0.409
1/2/2017,11:24,0.404,0.426
1/2/2017,11:30,0.423,0.465
1/2/2017,11:36,0.443,0.49
1/2/2017,11:42,0.463,0.5
1/2/2017,11:48,0.484,0.516
1/2/2017,11:54,0.505,0.547
1/2/2017,12:00,0.526,0.556
1/2/2017,12:06,0.547,0.575
1/2/2017,12:12,0.569,0.603
1/2/2017,12:18,0.591,0.618
1/2/2017,12:24,0.614,0.642
1/2/2017,12:30,0.636,0.654
1/2/2017,12:36,0.659,0.699
1/2/2017,12:42,0.683,0.72
1/2/2017,12:48,0.706,0.73
1/2/2017,12:54,0.73,0.768
1/2/2017,13:00,0.754,0.789
1/2/2017,13:06,0.778,0.807
1/2/2017,13:12,0.802,0.817
1/2/2017,13:18,0.826,0.851
1/2/2017,13:24,0.85,0.865
1/2/2017,13:30,0.874,0.888
1/2/2017,13:36,0.898,0.906
1/2/2017,13:42,0.921,0.945
1/2/2017,13:48,0.944,0.959
1/2/2017,13:54,0.967,0.967
1/2/2017,14:00,0.989,0.997
1/2/2017,14:06,1.01,1.009
1/2/2017,14:12,1.03,1.028
1/2/2017,14:18,1.049,1.02
1/2/2017,14:24,1.067,1.066
