#Predicted and verified water level from NOAA CO-OPS,,,
#Station MTKN6 (8510560) ,,,
#Measured relative to MLLW ,,,
#Predicted water level every 6 minutes for 2017,,,
#Verified water level every 6 minutes for 2017,,,
#Copied by Grace Kowalski on 07/12/2022,,,
Date,Time (GMT),Predicted (m),Verified (m)
12/31/2016,0:00,0.296,0.285
12/31/2016,0:06,0.311,0.308
12/31/2016,0:12,0.325,0.312
12/31/2016,0:18,0.338,0.321
12/31/2016,0:24,0.352,0.334
12/31/2016,0:30,0.364,0.351
12/31/2016,0:36,0.377,0.37
12/31/2016,0:42,0.389,0.368
12/31/2016,0:48,0.4,0.37
12/31/2016,0:54,0.412,0.39
12/31/2016,1:00,0.422,0.397
12/31/2016,1:06,0.433,0.393
12/31/2016,1:12,0.443,0.398
12/31/2016,1:18,0.453,0.424
12/31/2016,1:24,0.462,0.411
12/31/2016,1:30,0.471,0.415
12/31/2016,1:36,0.48,0.424
12/31/2016,1:42,0.488,0.416
12/31/2016,1:48,0.496,0.426
12/31/2016,1:54,0.504,0.446
12/31/2016,2:00,0.511,0.447
12/31/2016,2:06,0.517,0.459
12/31/2016,2:12,0.523,0.457
12/31/2016,2:18,0.529,0.45
12/31/2016,2:24,0.534,0.468
12/31/2016,2:30,0.538,0.452
12/31/2016,2:36,0.541,0.457
12/31/2016,2:42,0.544,0.45
12/31/2016,2:48,0.546,0.457
12/31/2016,2:54,0.547,0.456
12/31/2016,3:00,0.548,0.447
12/31/2016,3:06,0.547,0.441
12/31/2016,3:12,0.546,0.449
12/31/2016,3:18,0.543,0.449
12/31/2016,3:24,0.54,0.445
12/31/2016,3:30,0.536,0.437
12/31/2016,3:36,0.531,0.441
12/31/2016,3:42,0.525,0.458
12/31/2016,3:48,0.518,0.437
12/31/2016,3:54,0.511,0.438
12/31/2016,4:00,0.503,0.441
12/31/2016,4:06,0.494,0.436
12/31/2016,4:12,0.485,0.414
12/31/2016,4:18,0.475,0.403
12/31/2016,4:24,0.464,0.389
12/31/2016,4:30,0.453,0.38
12/31/2016,4:36,0.442,0.379
12/31/2016,4:42,0.431,0.373
12/31/2016,4:48,0.419,0.351
12/31/2016,4:54,0.408,0.35
12/31/2016,5:00,0.396,0.346
12/31/2016,5:06,0.384,0.34
12/31/2016,5:12,0.373,0.322
12/31/2016,5:18,0.362,0.317
12/31/2016,5:24,0.35,0.305
12/31/2016,5:30,0.339,0.294
12/31/2016,5:36,0.328,0.295
12/31/2016,5:42,0.318,0.268
12/31/2016,5:48,0.307,0.25
12/31/2016,5:54,0.297,0.247
12/31/2016,6:00,0.287,0.244
12/31/2016,6:06,0.277,0.232
12/31/2016,6:12,0.267,0.22
12/31/2016,6:18,0.258,0.209
12/31/2016,6:24,0.248,0.199
12/31/2016,6:30,0.239,0.189
12/31/2016,6:36,0.23,0.19
12/31/2016,6:42,0.221,0.171
12/31/2016,6:48,0.212,0.166
12/31/2016,6:54,0.202,0.15
12/31/2016,7:00,0.193,0.128
12/31/2016,7:06,0.184,0.126
12/31/2016,7:12,0.175,0.109
12/31/2016,7:18,0.166,0.083
12/31/2016,7:24,0.157,0.066
12/31/2016,7:30,0.148,0.052
12/31/2016,7:36,0.14,0.046
12/31/2016,7:42,0.131,0.023
12/31/2016,7:48,0.123,0.028
12/31/2016,7:54,0.114,0.028
12/31/2016,8:00,0.106,0.002
12/31/2016,8:06,0.099,0.013
12/31/2016,8:12,0.092,0.013
12/31/2016,8:18,0.085,0.001
12/31/2016,8:24,0.079,-0.007
12/31/2016,8:30,0.074,0.002
12/31/2016,8:36,0.069,0.005
12/31/2016,8:42,0.065,-0.009
12/31/2016,8:48,0.062,0.008
12/31/2016,8:54,0.06,0.02
12/31/2016,9:00,0.059,0.012
12/31/2016,9:06,0.059,0.019
12/31/2016,9:12,0.059,0.028
12/31/2016,9:18,0.061,0.044
12/31/2016,9:24,0.064,0.035
12/31/2016,9:30,0.068,0.05
12/31/2016,9:36,0.074,0.068
12/31/2016,9:42,0.08,0.066
12/31/2016,9:48,0.087,0.06
12/31/2016,9:54,0.096,0.088
12/31/2016,10:00,0.105,0.078
12/31/2016,10:06,0.116,0.105
12/31/2016,10:12,0.127,0.107
12/31/2016,10:18,0.14,0.114
12/31/2016,10:24,0.153,0.117
12/31/2016,10:30,0.168,0.139
12/31/2016,10:36,0.183,0.136
12/31/2016,10:42,0.198,0.16
12/31/2016,10:48,0.214,0.189
12/31/2016,10:54,0.231,0.197
12/31/2016,11:00,0.248,0.191
12/31/2016,11:06,0.266,0.229
12/31/2016,11:12,0.284,0.24
12/31/2016,11:18,0.302,0.268
12/31/2016,11:24,0.32,0.263
12/31/2016,11:30,0.338,0.285
12/31/2016,11:36,0.356,0.288
12/31/2016,11:42,0.373,0.326
12/31/2016,11:48,0.391,0.35
12/31/2016,11:54,0.408,0.347
12/31/2016,12:00,0.425,0.358
12/31/2016,12:06,0.442,0.38
12/31/2016,12:12,0.458,0.402
12/31/2016,12:18,0.474,0.44
12/31/2016,12:24,0.489,0.439
12/31/2016,12:30,0.504,0.468
12/31/2016,12:36,0.518,0.509
12/31/2016,12:42,0.532,0.507
12/31/2016,12:48,0.545,0.531
12/31/2016,12:54,0.558,0.568
12/31/2016,13:00,0.57,0.569
12/31/2016,13:06,0.581,0.575
12/31/2016,13:12,0.592,0.617
12/31/2016,13:18,0.603,0.623
12/31/2016,13:24,0.613,0.625
12/31/2016,13:30,0.623,0.657
12/31/2016,13:36,0.632,0.661
12/31/2016,13:42,0.64,0.67
12/31/2016,13:48,0.649,0.692
12/31/2016,13:54,0.657,0.711
12/31/2016,14:00,0.664,0.7
12/31/2016,14:06,0.671,0.724
12/31/2016,14:12,0.677,0.743
12/31/2016,14:18,0.683,0.74
12/31/2016,14:24,0.689,0.761
12/31/2016,14:30,0.694,0.76
12/31/2016,14:36,0.698,0.766
12/31/2016,14:42,0.702,0.776
12/31/2016,14:48,0.705,0.765
12/31/2016,14:54,0.708,0.778
12/31/2016,15:00,0.709,0.769
12/31/2016,15:06,0.71,0.759
12/31/2016,15:12,0.71,0.76
12/31/2016,15:18,0.71,0.762
12/31/2016,15:24,0.708,0.745
12/31/2016,15:30,0.706,0.733
12/31/2016,15:36,0.702,0.729
12/31/2016,15:42,0.698,0.74
12/31/2016,15:48,0.693,0.726
12/31/2016,15:54,0.687,0.714
12/31/2016,16:00,0.679,0.698
12/31/2016,16:06,0.671,0.688
12/31/2016,16:12,0.662,0.686
12/31/2016,16:18,0.653,0.679
12/31/2016,16:24,0.642,0.641
12/31/2016,16:30,0.631,0.635
12/31/2016,16:36,0.619,0.638
12/31/2016,16:42,0.606,0.617
12/31/2016,16:48,0.593,0.616
12/31/2016,16:54,0.58,0.589
12/31/2016,17:00,0.566,0.581
12/31/2016,17:06,0.551,0.579
12/31/2016,17:12,0.537,0.572
12/31/2016,17:18,0.522,0.561
12/31/2016,17:24,0.507,0.53
12/31/2016,17:30,0.492,0.539
12/31/2016,17:36,0.477,0.514
12/31/2016,17:42,0.461,0.502
12/31/2016,17:48,0.446,0.489
12/31/2016,17:54,0.431,0.477
12/31/2016,18:00,0.416,0.448
12/31/2016,18:06,0.401,0.442
12/31/2016,18:12,0.386,0.419
12/31/2016,18:18,0.372,0.415
12/31/2016,18:24,0.357,0.403
12/31/2016,18:30,0.343,0.394
12/31/2016,18:36,0.328,0.38
12/31/2016,18:42,0.314,0.369
12/31/2016,18:48,0.3,0.358
12/31/2016,18:54,0.285,0.361
12/31/2016,19:00,0.271,0.34
12/31/2016,19:06,0.257,0.331
12/31/2016,19:12,0.242,0.314
12/31/2016,19:18,0.228,0.304
12/31/2016,19:24,0.214,0.3
12/31/2016,19:30,0.199,0.29
12/31/2016,19:36,0.185,0.274
