#Predicted and verified water level from NOAA CO-OPS,,,
#Station NTKM3 (8449130) ,,,
#Measured relative to MLLW ,,,
#Predicted water level every 6 minutes for 2017,,,
#Verified water level every 6 minutes for 2017,,,
#Copied by Grace Kowalski on 07/12/2022,,,
Date,Time (GMT),Predicted (m),Verified (m)
12/31/2016,0:00,0.002,0.086
12/31/2016,0:06,0.005,0.08
12/31/2016,0:12,0.009,0.08
12/31/2016,0:18,0.014,0.081
12/31/2016,0:24,0.021,0.084
12/31/2016,0:30,0.029,0.086
12/31/2016,0:36,0.038,0.101
12/31/2016,0:42,0.048,0.111
12/31/2016,0:48,0.059,0.123
12/31/2016,0:54,0.071,0.13
12/31/2016,1:00,0.083,0.143
12/31/2016,1:06,0.097,0.166
12/31/2016,1:12,0.11,0.186
12/31/2016,1:18,0.125,0.203
12/31/2016,1:24,0.14,0.22
12/31/2016,1:30,0.155,0.237
12/31/2016,1:36,0.17,0.256
12/31/2016,1:42,0.186,0.275
12/31/2016,1:48,0.202,0.292
12/31/2016,1:54,0.218,0.308
12/31/2016,2:00,0.234,0.323
12/31/2016,2:06,0.25,0.342
12/31/2016,2:12,0.267,0.355
12/31/2016,2:18,0.283,0.368
12/31/2016,2:24,0.299,0.378
12/31/2016,2:30,0.315,0.386
12/31/2016,2:36,0.331,0.402
12/31/2016,2:42,0.347,0.417
12/31/2016,2:48,0.363,0.431
12/31/2016,2:54,0.38,0.462
12/31/2016,3:00,0.396,0.489
12/31/2016,3:06,0.412,0.518
12/31/2016,3:12,0.428,0.533
12/31/2016,3:18,0.444,0.559
12/31/2016,3:24,0.46,0.579
12/31/2016,3:30,0.477,0.584
12/31/2016,3:36,0.493,0.586
12/31/2016,3:42,0.51,0.591
12/31/2016,3:48,0.526,0.6
12/31/2016,3:54,0.542,0.606
12/31/2016,4:00,0.559,0.621
12/31/2016,4:06,0.575,0.633
12/31/2016,4:12,0.592,0.648
12/31/2016,4:18,0.608,0.667
12/31/2016,4:24,0.624,0.68
12/31/2016,4:30,0.64,0.698
12/31/2016,4:36,0.656,0.723
12/31/2016,4:42,0.671,0.743
12/31/2016,4:48,0.686,0.759
12/31/2016,4:54,0.7,0.766
12/31/2016,5:00,0.714,0.786
12/31/2016,5:06,0.728,0.794
12/31/2016,5:12,0.74,0.802
12/31/2016,5:18,0.752,0.816
12/31/2016,5:24,0.763,0.826
12/31/2016,5:30,0.774,0.836
12/31/2016,5:36,0.783,0.843
12/31/2016,5:42,0.792,0.853
12/31/2016,5:48,0.799,0.858
12/31/2016,5:54,0.806,0.863
12/31/2016,6:00,0.811,0.871
12/31/2016,6:06,0.815,0.882
12/31/2016,6:12,0.818,0.885
12/31/2016,6:18,0.82,0.885
12/31/2016,6:24,0.821,0.883
12/31/2016,6:30,0.821,0.881
12/31/2016,6:36,0.819,0.882
12/31/2016,6:42,0.817,0.886
12/31/2016,6:48,0.813,0.886
12/31/2016,6:54,0.808,0.89
12/31/2016,7:00,0.802,0.89
12/31/2016,7:06,0.795,0.886
12/31/2016,7:12,0.788,0.877
12/31/2016,7:18,0.779,0.862
12/31/2016,7:24,0.769,0.849
