#Predicted and verified water level from NOAA CO-OPS,,,
#Station FOXR1 (8454000) ,,,
#Measured relative to MLLW ,,,
#Predicted water level every 6 minutes for 2017,,,
#Verified water level every 6 minutes for 2017,,,
#Copied by Grace Kowalski on 07/12/2022,,,
Date,Time (GMT),Predicted (m),Verified (m)
12/31/2016,0:00,0.916,0.939
12/31/2016,0:06,0.948,0.976
12/31/2016,0:12,0.979,1.013
12/31/2016,0:18,1.008,1.046
12/31/2016,0:24,1.037,1.073
12/31/2016,0:30,1.064,1.098
12/31/2016,0:36,1.09,1.123
12/31/2016,0:42,1.115,1.152
12/31/2016,0:48,1.137,1.185
12/31/2016,0:54,1.158,1.212
12/31/2016,1:00,1.177,1.226
12/31/2016,1:06,1.194,1.227
12/31/2016,1:12,1.208,1.225
12/31/2016,1:18,1.221,1.231
12/31/2016,1:24,1.231,1.239
12/31/2016,1:30,1.239,1.242
12/31/2016,1:36,1.244,1.24
12/31/2016,1:42,1.247,1.23
12/31/2016,1:48,1.248,1.216
12/31/2016,1:54,1.246,1.206
12/31/2016,2:00,1.241,1.206
12/31/2016,2:06,1.235,1.21
12/31/2016,2:12,1.225,1.202
12/31/2016,2:18,1.214,1.178
12/31/2016,2:24,1.2,1.144
12/31/2016,2:30,1.184,1.112
12/31/2016,2:36,1.166,1.089
12/31/2016,2:42,1.146,1.07
12/31/2016,2:48,1.124,1.051
12/31/2016,2:54,1.1,1.026
12/31/2016,3:00,1.074,0.995
12/31/2016,3:06,1.047,0.956
12/31/2016,3:12,1.018,0.918
12/31/2016,3:18,0.988,0.888
12/31/2016,3:24,0.957,0.856
12/31/2016,3:30,0.925,0.821
12/31/2016,3:36,0.892,0.779
12/31/2016,3:42,0.859,0.728
12/31/2016,3:48,0.825,0.672
12/31/2016,3:54,0.79,0.621
12/31/2016,4:00,0.755,0.568
12/31/2016,4:06,0.719,0.526
12/31/2016,4:12,0.684,0.488
12/31/2016,4:18,0.648,0.452
12/31/2016,4:24,0.613,0.415
12/31/2016,4:30,0.577,0.381
12/31/2016,4:36,0.542,0.353
12/31/2016,4:42,0.507,0.335
12/31/2016,4:48,0.472,0.327
12/31/2016,4:54,0.437,0.322
12/31/2016,5:00,0.403,0.314
12/31/2016,5:06,0.369,0.299
12/31/2016,5:12,0.336,0.281
12/31/2016,5:18,0.303,0.254
12/31/2016,5:24,0.271,0.221
12/31/2016,5:30,0.239,0.192
12/31/2016,5:36,0.209,0.168
12/31/2016,5:42,0.179,0.15
12/31/2016,5:48,0.151,0.132
12/31/2016,5:54,0.123,0.107
12/31/2016,6:00,0.097,0.084
12/31/2016,6:06,0.073,0.063
12/31/2016,6:12,0.05,0.04
12/31/2016,6:18,0.029,0.016
12/31/2016,6:24,0.009,-0.004
12/31/2016,6:30,-0.008,-0.016
12/31/2016,6:36,-0.023,-0.023
12/31/2016,6:42,-0.036,-0.03
12/31/2016,6:48,-0.046,-0.037
12/31/2016,6:54,-0.054,-0.041
12/31/2016,7:00,-0.06,-0.041
12/31/2016,7:06,-0.063,-0.034
12/31/2016,7:12,-0.063,-0.027
12/31/2016,7:18,-0.061,-0.019
12/31/2016,7:24,-0.057,-0.016
12/31/2016,7:30,-0.05,-0.013
12/31/2016,7:36,-0.041,-0.006
12/31/2016,7:42,-0.03,0.002
12/31/2016,7:48,-0.017,0.002
12/31/2016,7:54,-0.002,-0.001
12/31/2016,8:00,0.014,0.004
12/31/2016,8:06,0.032,0.017
12/31/2016,8:12,0.051,0.027
12/31/2016,8:18,0.072,0.019
12/31/2016,8:24,0.092,0.019
12/31/2016,8:30,0.114,0.041
12/31/2016,8:36,0.136,0.078
12/31/2016,8:42,0.158,0.1
12/31/2016,8:48,0.18,0.115
12/31/2016,8:54,0.202,0.137
12/31/2016,9:00,0.225,0.162
12/31/2016,9:06,0.246,0.182
12/31/2016,9:12,0.268,0.192
12/31/2016,9:18,0.289,0.2
12/31/2016,9:24,0.31,0.218
12/31/2016,9:30,0.33,0.247
12/31/2016,9:36,0.35,0.273
12/31/2016,9:42,0.37,0.297
12/31/2016,9:48,0.39,0.325
12/31/2016,9:54,0.41,0.355
12/31/2016,10:00,0.43,0.383
12/31/2016,10:06,0.45,0.412
12/31/2016,10:12,0.47,0.45
12/31/2016,10:18,0.491,0.498
12/31/2016,10:24,0.512,0.541
12/31/2016,10:30,0.534,0.58
12/31/2016,10:36,0.557,0.617
12/31/2016,10:42,0.58,0.649
12/31/2016,10:48,0.605,0.676
12/31/2016,10:54,0.63,0.7
12/31/2016,11:00,0.656,0.719
12/31/2016,11:06,0.683,0.74
12/31/2016,11:12,0.711,0.767
12/31/2016,11:18,0.74,0.797
12/31/2016,11:24,0.77,0.819
12/31/2016,11:30,0.8,0.839
12/31/2016,11:36,0.831,0.854
