#Predicted and verified water level from NOAA CO-OPS,,,
#Station NLNC3 (8461490) ,,,
#Measured relative to MLLW ,,,
#Predicted water level every 6 minutes for 2017,,,
#Verified water level every 6 minutes for 2017,,,
#Copied by Grace Kowalski on 07/12/2022,,,
Date,Time (GMT),Predicted (m),Verified (m)
12/25/2016,0:00,0.581,0.57
12/25/2016,0:06,0.574,0.576
12/25/2016,0:12,0.568,0.577
12/25/2016,0:18,0.561,0.566
12/25/2016,0:24,0.553,0.566
12/25/2016,0:30,0.545,0.55
12/25/2016,0:36,0.538,0.532
12/25/2016,0:42,0.53,0.526
12/25/2016,0:48,0.521,0.514
12/25/2016,0:54,0.513,0.497
12/25/2016,1:00,0.505,0.484
12/25/2016,1:06,0.497,0.481
12/25/2016,1:12,0.489,0.481
12/25/2016,1:18,0.481,0.484
12/25/2016,1:24,0.472,0.482
12/25/2016,1:30,0.464,0.491
12/25/2016,1:36,0.456,0.495
12/25/2016,1:42,0.448,0.496
12/25/2016,1:48,0.439,0.492
12/25/2016,1:54,0.43,0.482
12/25/2016,2:00,0.422,0.474
12/25/2016,2:06,0.413,0.457
12/25/2016,2:12,0.403,0.434
12/25/2016,2:18,0.394,0.409
12/25/2016,2:24,0.384,0.394
12/25/2016,2:30,0.374,0.375
12/25/2016,2:36,0.364,0.349
12/25/2016,2:42,0.353,0.329
12/25/2016,2:48,0.342,0.321
12/25/2016,2:54,0.33,0.315
12/25/2016,3:00,0.319,0.303
12/25/2016,3:06,0.307,0.297
12/25/2016,3:12,0.295,0.284
12/25/2016,3:18,0.282,0.283
12/25/2016,3:24,0.27,0.271
12/25/2016,3:30,0.257,0.252
12/25/2016,3:36,0.244,0.238
12/25/2016,3:42,0.232,0.217
12/25/2016,3:48,0.219,0.195
12/25/2016,3:54,0.207,0.169
12/25/2016,4:00,0.194,0.153
12/25/2016,4:06,0.183,0.145
12/25/2016,4:12,0.171,0.123
12/25/2016,4:18,0.16,0.112
12/25/2016,4:24,0.15,0.106
12/25/2016,4:30,0.14,0.105
12/25/2016,4:36,0.131,0.104
12/25/2016,4:42,0.123,0.108
12/25/2016,4:48,0.116,0.104
12/25/2016,4:54,0.109,0.095
12/25/2016,5:00,0.104,0.091
12/25/2016,5:06,0.099,0.076
12/25/2016,5:12,0.096,0.056
12/25/2016,5:18,0.093,0.053
12/25/2016,5:24,0.092,0.044
12/25/2016,5:30,0.092,0.033
12/25/2016,5:36,0.093,0.017
12/25/2016,5:42,0.095,0.02
12/25/2016,5:48,0.098,0.024
12/25/2016,5:54,0.102,0.023
12/25/2016,6:00,0.107,0.033
12/25/2016,6:06,0.113,0.044
12/25/2016,6:12,0.12,0.046
12/25/2016,6:18,0.128,0.056
12/25/2016,6:24,0.137,0.066
12/25/2016,6:30,0.147,0.076
12/25/2016,6:36,0.158,0.08
12/25/2016,6:42,0.169,0.092
12/25/2016,6:48,0.181,0.115
12/25/2016,6:54,0.194,0.118
12/25/2016,7:00,0.207,0.13
12/25/2016,7:06,0.22,0.133
12/25/2016,7:12,0.234,0.15
12/25/2016,7:18,0.249,0.147
12/25/2016,7:24,0.263,0.163
12/25/2016,7:30,0.278,0.178
12/25/2016,7:36,0.294,0.198
12/25/2016,7:42,0.309,0.224
12/25/2016,7:48,0.325,0.246
12/25/2016,7:54,0.341,0.269
12/25/2016,8:00,0.357,0.284
12/25/2016,8:06,0.373,0.288
12/25/2016,8:12,0.389,0.312
12/25/2016,8:18,0.405,0.336
12/25/2016,8:24,0.421,0.354
12/25/2016,8:30,0.438,0.37
12/25/2016,8:36,0.454,0.392
12/25/2016,8:42,0.471,0.404
12/25/2016,8:48,0.488,0.42
12/25/2016,8:54,0.504,0.432
12/25/2016,9:00,0.521,0.455
12/25/2016,9:06,0.538,0.47
12/25/2016,9:12,0.555,0.486
12/25/2016,9:18,0.571,0.496
12/25/2016,9:24,0.588,0.52
12/25/2016,9:30,0.605,0.535
12/25/2016,9:36,0.621,0.553
12/25/2016,9:42,0.637,0.566
12/25/2016,9:48,0.653,0.578
12/25/2016,9:54,0.669,0.592
12/25/2016,10:00,0.684,0.594
12/25/2016,10:06,0.699,0.599
12/25/2016,10:12,0.713,0.605
12/25/2016,10:18,0.727,0.613
12/25/2016,10:24,0.74,0.618
12/25/2016,10:30,0.752,0.628
12/25/2016,10:36,0.764,0.637
12/25/2016,10:42,0.774,0.642
12/25/2016,10:48,0.784,0.651
12/25/2016,10:54,0.792,0.659
12/25/2016,11:00,0.8,0.664
12/25/2016,11:06,0.806,0.662
12/25/2016,11:12,0.811,0.669
12/25/2016,11:18,0.815,0.677
12/25/2016,11:24,0.818,0.679
12/25/2016,11:30,0.819,0.68
12/25/2016,11:36,0.82,0.677
12/25/2016,11:42,0.819,0.67
12/25/2016,11:48,0.817,0.667
12/25/2016,11:54,0.814,0.667
12/25/2016,12:00,0.81,0.662
12/25/2016,12:06,0.805,0.659
12/25/2016,12:12,0.799,0.659
12/25/2016,12:18,0.793,0.65
12/25/2016,12:24,0.785,0.647
12/25/2016,12:30,0.777,0.65
12/25/2016,12:36,0.769,0.645
12/25/2016,12:42,0.759,0.641
12/25/2016,12:48,0.75,0.629
12/25/2016,12:54,0.74,0.614
12/25/2016,13:00,0.729,0.588
12/25/2016,13:06,0.718,0.58
12/25/2016,13:12,0.707,0.566
12/25/2016,13:18,0.696,0.545
12/25/2016,13:24,0.685,0.536
